year,quater,Inventory Change,Spread Change,World Consumption Change,World GDP Change,Assets under management (four largest public U.S. commodity funds),Dow Jones UBS Commodity Index,Open Interest,non-OECD Consumption Growth,non-OECD GDP growth,non-OPEC Production change,y-o-y % OECD Consumption Change,Spare Capacity,Saudi Production Change,WTI Production Change,Capacity percent change,WTI Real Price (GDP Deflated),Producers/Merchants long,Producers/Merchants short,Producers/Merchants net,Money Managers Long,Money Managers Short,Money Managers Net,Opec Disruption,Non-OPEC Disruption
2002,Q1,,,-0.14,2.19,,,465.431,1.9,1.94,0.99,-1.33,7.03,-1.17,-24.76,1.07,34.06,,,,,,,,
2002,Q2,,,0.63,2.71,,,492.333,2.21,2.49,1.75,-0.35,7.61,-0.53,-5.93,2.03,41.18,,,,,,,,
2002,Q3,,,1.48,3.26,,,470.571,3.57,3.11,0.92,0.23,6.75,-0.27,5.97,0.98,44.16,,,,,,,,
2002,Q4,,,2.52,3.33,,,521.515,3.52,3.34,0.8,1.91,5.35,0.37,38.09,0,43.86,,,,,,,,
2003,Q1,,,2.71,3.24,,,604.3,3.02,3.24,1.04,2.53,2.04,1.62,57.3,-3.22,52.54,,,,,,,,
2003,Q2,,,1.54,3.05,,,489.604,1.13,3.05,0.28,1.79,1.38,1.69,10.32,-5.15,44.57,,,,,,,,
2003,Q3,,,1.96,3.65,,,522.785,4.02,3.65,1.31,0.68,2.22,0.75,6.8,-2.67,46.22,,,,,,,,
2003,Q4,,,2.11,4.54,,,554.566,4.14,4.54,1.72,0.87,1.99,0.52,10.32,-0.14,47.41,,,,,,,,
2004,Q1,,,3.02,5.07,,,659.581,6.15,5.07,1.39,1.12,1.87,-0.3,3.78,3.81,53.33,,,,,,,,
2004,Q2,,,4.76,5.47,,,705.539,9.65,5.47,1.84,1.66,1.67,-0.36,32.21,5.37,57.38,,,,,,,,
2004,Q3,,,4.24,5.13,,,695.279,7.41,5.13,1.01,2.22,0.7,0.98,45.06,3.15,65.24,,,,,,,,
2004,Q4,,,3.77,4.58,,,698.539,6.81,4.58,0.65,1.86,0.68,0.97,54.39,1.37,71.09,,,,,,,,
2005,Q1,,,2.93,4.54,,,762.708,5.06,4.54,0.24,1.56,1.09,0.9,41.24,1.17,73.12,,,,,,,,
2005,Q2,,,1.94,4.52,,,806.082,2.92,4.52,0.68,1.26,1.04,0.8,38.61,2.04,77.26,,,,,,,,
2005,Q3,,,1.43,4.6,,,866.112,2.75,4.6,-0.07,0.54,0.94,0.1,44.41,1.12,91.24,,,,,,,,
2005,Q4,,,-0.4,4.95,,,840.483,-0.29,4.95,-0.47,-0.47,0.98,0,24.61,0.43,85.77,,,,,,,,
2006,Q1,49.29,3.03,0.72,5.29,51.98,1.91,929.464,2.41,5.29,0.13,-0.39,1.12,-0.09,26.86,-0.04,89.88,,,,,,,,
2006,Q2,39.48,-0.16,0.83,5.24,36.03,13.31,1025.516,2.85,5.24,-0.25,-0.56,1.36,-0.38,32.68,-0.57,99.17,,,,,,,,
2006,Q3,135.31,5.4,1.51,5.1,10.94,-10.26,1138.689,4.2,5.1,1.34,-0.33,1.35,-0.4,11.42,1.43,98.56,,,,,,,,
2006,Q4,80.31,2.93,2.2,5.31,15.76,-2.71,1181.559,5.83,5.31,1.11,-0.21,1.95,-0.72,-0.1,1.28,83.42,,,,,,,,
2007,Q1,-2.94,0.89,1.31,5.2,18.62,4.1,1293.24,5.39,5.2,0.79,-1.46,2.3,-0.76,-8.25,0.96,80.03,,,,,,,,
2007,Q2,-3.7,-0.54,2.35,5.39,15.88,-2.06,1384.608,5.37,5.39,0.94,0.18,2.29,-0.62,-7.8,1.07,88.96,,,,,,,,
2007,Q3,-129.83,-11.99,1.75,5.33,19.33,11.44,1494.831,4.46,5.33,0.1,-0.19,2.07,-0.54,6.64,-0.14,102.57,,,,,,,,
2007,Q4,-113.19,-11.4,2.37,5.18,21.9,11.08,1422.969,5.57,5.18,0.59,0.12,1.62,0.18,51.15,0.67,122.93,,,,,,,,
2008,Q1,-34.77,-8.84,0.74,4.59,40.3,17.23,1402.298,4.3,4.59,0.39,-1.85,1.51,0.55,68.5,1.11,132.22,212.2866667,-334.7666667,-122.48,167.2966667,-91.69333333,75.60333333,,
2008,Q2,-67.35,-0.85,0.85,3.94,59.73,37.34,1381.138,4.7,3.94,0.26,-2.05,1.41,0.72,90.52,0.93,166.64,207.9366667,-271.4233333,-63.48666667,171.09,-87.81666667,83.27666667,,
2008,Q3,-2.9,8.56,-0.87,2.74,0.34,-5.88,1225.45,4.49,2.74,0.06,-4.88,1.16,0.9,57.25,0.78,158.02,119.65,-222.4566667,-102.8033333,123.3766667,-77.22,46.16,,
2008,Q4,112.01,20.35,-3.36,0.16,-46.11,-36.61,1124.539,-0.41,0.16,0.01,-5.56,1.95,-0.02,-35.22,0.39,78.26,137.1866667,-262.5566667,-125.37,103.6166667,-97.13333333,6.483333333,,
2009,Q1,169.19,15.65,-3.25,-2.25,-47.74,-45.54,1214.524,-1.35,-2.25,0.13,-4.7,3.76,-1.13,-55.91,0.3,57.52,155.62,-346.66,-191.0433333,134.15,-98.98333333,35.16333333,,
2009,Q2,152.23,4.38,-2.14,-1.98,-30.69,-47.42,1168.246,2.38,-1.98,0.38,-5.79,3.86,-1.19,-51.84,0.81,79.58,131.8966667,-336.1733333,-204.2766667,130.13,-71.51666667,58.61,,
2009,Q3,120.7,2.24,-0.01,-0.61,28.66,-23.9,1173.816,4.1,-0.61,1.35,-3.4,4.35,-1.17,-42.45,2.75,90.83,124.6966667,-311.02,-186.3266667,142.3066667,-78.13,64.17333333,,
2009,Q4,-37.73,-9.83,1.61,1.93,171.51,18.72,1215.004,7.02,1.93,1.38,-2.63,4.85,-0.68,29.51,3.63,101.03,140.28,-368.4833333,-228.2033333,178.4866667,-43.12666667,135.3566667,,
2010,Q1,-67.73,-8.79,2.28,4.82,144.93,20.38,1312.362,6.65,4.82,1.84,-1.21,5.19,0.07,82.68,4.19,104.5,164.6933333,-400.8466667,-236.1533333,190.6633333,-45.62,145.0466667,0.233333333,0
2010,Q2,-3.26,-1.25,3.23,5.41,54.47,2.62,1365.001,4.91,5.41,2.08,1.75,5.45,0.03,30.55,4.5,102.71,193.6133333,-410.7266667,-217.1166667,183.25,-84.25,99.00333333,0.283333333,0
2010,Q3,-34,0.89,3.63,5.23,41.95,9.88,1284.169,3.65,5.23,1.63,3.62,5.33,-0.22,11.74,2.9,100.04,147.0533333,-340.8333333,-193.7833333,187.3333333,-91.89333333,95.44666667,0.193333333,0
2010,Q4,14.26,-2.03,3.72,5.05,43.02,16.67,1404.16,5.98,5.05,1.55,1.78,5.29,-0.05,12.14,2.2,111.44,215.11,-370.0266667,-154.9166667,238.5366667,-65.08666667,173.45,0.133333333,0
2011,Q1,-36.13,-1.32,2.05,4.77,62.9,28.31,1529.703,4.12,4.77,0.7,0.26,4.46,0.75,19.36,0.63,122.41,239.4133333,-437.5233333,-198.1066667,253.3233333,-45.56666667,207.7566667,0.603333333,0.32
2011,Q2,-78.3,0.75,0.06,4.06,55.55,25.76,1562.207,2.31,4.06,-0.1,-1.98,3.89,0.97,31.11,-1.64,131.81,202.7766667,-396.6466667,-193.87,255.2866667,-48.93333333,206.3566667,1.456666667,0.413333333
2011,Q3,-84.54,-3.15,0.48,3.78,26.34,-0.07,1491.533,2.46,3.78,0.15,-1.26,3.19,1.62,17.65,-1.23,115.02,209.6633333,-378.15,-168.4833333,227.03,-67.94,159.09,1.633333333,0.416666667
2011,Q4,-80.18,-4.09,0.08,3.43,-1.79,-13.37,1353.651,2.36,3.43,0.37,-1.96,3.29,1.48,10.4,-0.67,120.78,165.17,-283.7533333,-118.5833333,220.06,-45.71666667,174.3533333,1.31,0.546666667
2012,Q1,3.21,1.1,0.87,3.46,-15.99,-16.31,1475.075,3.48,3.46,0.94,-1.47,2.66,1.04,9.43,0.52,131.37,224.5333333,-306.14,-81.60666667,239.2466667,-39.67666667,199.57,0.763333333,0.91
2012,Q2,-4.4,-1,1.86,3.23,-17.34,-14.36,1509.067,3.48,3.23,0.83,0.34,2.58,0.72,-8.56,1.73,118.56,217.8533333,-271.7566667,-53.90333333,188.06,-57.88666667,130.1766667,0.84,0.873333333
2012,Q3,57.01,-0.99,0.99,3.12,0.59,5.92,1482.75,4.27,3.12,0.5,-2.04,2.48,0.1,2.99,1.12,116.41,253.3666667,-295.8133333,-42.44666667,202.1233333,-52.43333333,149.69,1.09,0.91
2012,Q4,55.63,2.41,2.01,2.87,-5.25,-1.14,1547.422,4.99,2.87,1.08,-0.77,2.85,-0.21,-6.46,0.96,110.67,276.27,-296.57,-20.3,185.6366667,-81.08666667,104.5533333,1.353333333,0.75
2013,Q1,2.57,-5.12,1.78,2.73,-3.93,-3.12,1608.228,4.84,2.73,0.58,-1.09,3.27,-0.83,-8.37,0.03,118.19,273.49,-262.5866667,10.90666667,214.83,-37.04666667,177.7833333,1.323333333,0.886666667
2013,Q2,-32.62,-10.05,2.03,3.1,-9.97,-8.09,1771.813,3.89,3.1,1.58,0.22,2.8,-0.25,0.82,0.9,117.51,348.1566667,-318.92,29.23666667,236.6466667,-37.98,198.67,1.403333333,0.876666667
2013,Q3,-39.55,-10.13,1.84,3.41,-17.47,-14.41,1867.111,2.93,3.41,2.38,0.76,2.27,0.2,14.82,1.27,131.51,360.7666667,-317.4566667,43.30666667,314.0733333,-41.21,272.8633333,2.203333333,0.833333333
2013,Q4,-95.19,-7.85,0.96,3.71,-21.73,-9.58,1715.581,1.54,3.71,2,0.38,2.57,0.31,10.78,0.61,120.54,305.2633333,-298.53,6.733333333,278.25,-43.9,234.35,2.503333333,0.603333333
2014,Q1,-73.93,-6.3,1.58,3.48,-21.65,-2.15,1629.872,3.01,3.48,2.2,0.17,2.47,0.7,4.61,1.51,121.54,252.4966667,-293.3033333,-40.81,328.4666667,-41.11333333,287.3566667,2.32,0.59
2014,Q2,1.97,-2.05,1.71,3.46,-7.26,8.16,1664.088,4.95,3.46,2.46,-1.55,2.6,0.05,9.89,1.72,126.62,244.0333333,-331.8,-87.77,360.3033333,-34.03,326.2766667,2.573333333,0.62
2014,Q3,35.69,4.7,1.69,3.37,-16.38,-6.62,1594.373,4.24,3.37,2.38,-0.86,2.45,-0.4,-7.52,2.82,119.39,209.67,-251.5733333,-41.90333333,278.64,-55.57666667,223.0633333,2.256666667,0.52
2014,Q4,144.65,13.18,1.75,3.24,-19.21,-17.04,1470.448,3.75,3.24,2.78,-0.25,2.36,-0.17,-24.91,4.09,89.28,210.29,-270.7933333,-60.5,258.65,-69.11666667,189.5333333,2.43,0.36
2015,Q1,208.81,18.82,1.54,3.45,-27.22,-27.06,1680.264,1.21,3.45,2.52,1.88,2.18,0.01,-50.87,2.93,59.16,243.26,-368.93,-125.6733333,320.7733333,-128.23,192.54,2.563333333,0.266666667
2015,Q2,225.6,10.87,2.05,3.35,-25.73,-23.72,1689.047,2.14,3.35,1.71,1.95,1.62,0.63,-44.02,2.57,70.19,208.1566667,-378.07,-169.9166667,314.06,-70.92,243.14,2.613333333,0.466666667
2015,Q3,230.51,8.9,2.62,3.2,-34.19,-26.01,1686.252,2.76,3.2,1.49,2.48,1.51,0.59,-52.43,2.21,56.34,179.6733333,-326.0766667,-146.4033333,251.4633333,-136.0966667,115.3633333,2.743333333,0.396666667
2015,Q4,282.73,0.47,1.47,3.05,-42.77,-24.7,1664.322,2.49,3.05,0.44,0.41,1.65,0.5,-42.72,0.91,50.76,159.04,-366.1133333,-207.07,254.14,-154.7933333,99.34333333,2.78,0.306666667
2016,Q1,251.55,-3.57,2.04,3.07,-39.2,-19.66,1779.407,3.81,3.07,-0.04,0.24,1.67,0.4,-31.21,1.02,40.39,177.4766667,-445.0766667,-267.5966667,278.3366667,-148.83,129.5033333,2.093333333,0.34
2016,Q2,203.66,1.46,1.65,3.09,-30.38,-13.48,1732.578,2.4,3.09,-0.88,0.84,1.58,0.05,-21.42,-0.24,54.7,182.2066667,-465.8466667,-283.64,282,-86.42333333,195.5766667,2.436666667,0.736666667
2016,Q3,136.72,-0.96,0.92,3.13,-16.26,-2.82,1795.205,1.25,3.13,-1.14,0.56,1.2,0.31,-3.66,-0.94,53.82,230.4633333,-497.74,-267.28,300,-149.5833333,150.4233333,2.343333333,0.37
2016,Q4,22.42,-3.9,1.56,3.51,17.35,11.4,1966.125,1.35,3.51,-0.67,1.79,1.23,0.42,17.27,0.21,58.71,259.1166667,-536.6866667,-277.5733333,329.7533333,-100.24,229.5166667,1.933333333,0.326666667
2017,Q1,7.64,-4.29,1.52,3.54,12.02,8.28,2159.287,2.65,3.54,-0.12,0.33,2.37,-0.22,54.82,0.62,61.33,361.1133333,-659.8566667,-298.7433333,400.7233333,-82.95,317.77,1.806666667,0.243333333
2017,Q2,-48.37,-1.81,2.99,3.74,-12.37,-7.02,2200.752,3.58,3.74,0.81,2.34,2.3,-0.24,5.82,1.73,56.98,400.7066667,-615.9666667,-215.26,305.5233333,-134.8166667,170.71,1.6,0.52
2017,Q3,-109.94,-3.96,2.41,3.97,-10.56,-1.03,2266.615,3.74,3.97,0.93,0.99,2.12,-0.42,7.37,2.43,56.75,412.93,-565.6233333,-152.6933333,335.4366667,-123.26,212.1766667,1.173333333,0.476666667
2017,Q4,-146,-5.94,2.7,3.99,-10.83,0.75,2502.724,3.82,3.99,1.04,1.53,2.26,-0.44,12.37,1.62,64.73,410.1933333,-498.2133333,-88.01333333,427.7666667,-61.91333333,365.86,1.19,0.27
2018,Q1,-227.82,-6.34,1.59,4.17,3.84,2.49,2514.988,1.24,4.17,1.65,1.97,1.82,0.13,21.83,1.74,73.21,396.3633333,-484.6533333,-88.29,497.9733333,-29.12666667,468.8466667,1.113333333,0.37
2018,Q2,-214.53,-10.73,0.14,3.95,13.98,5.82,2579.771,0.25,3.95,2.41,0.02,1.8,0.11,41.5,2.02,78.66,444.5666667,-495.8166667,-51.25,401.58,-33.43,368.1533333,1.336666667,0.23
2018,Q3,-108.12,-2.78,0.83,3.37,1.8,0.88,2323.193,0.81,3.37,3.38,0.85,1.33,0.3,44.71,2.27,80.19,384.1566667,-442.0866667,-57.93,379.6433333,-20.86666667,358.7766667,1.54,0.133333333
2018,Q4,11,5.76,-0.13,2.94,-19.33,-12.99,2101.09,0.52,2.94,3.4,-0.84,0.95,0.63,7.83,1.99,68.29,460.6966667,-445.9966667,14.69333333,224.87,-94.48333333,130.3866667,1.953333333,0.253333333
2019,Q1,54.78,4.06,0.55,2.86,-27.06,-7.3,2042.291,1.29,2.86,2.25,-0.24,2.19,-0.11,-12.85,1.1,62.63,449.26,-498.27,-49.01333333,251.49,-61.95666667,189.5333333,2.42,0.376666667
2019,Q2,116.3,6.08,0.76,2.95,-34.94,-8.87,2080.808,1.32,2.95,1.98,0.14,2.46,-0.28,-12.03,1.02,68.06,437.58,-446.6833333,-9.106666667,271.9366667,-45.76666667,226.1733333,2.41,0.213333333
2019,Q3,72.52,-0.51,0.82,2.99,-39.78,-8.71,2051.239,1.41,2.99,1.31,0.17,2.28,-1.1,-19.14,-0.42,63.84,431.6733333,-413.7833333,17.89,257.44,-63.1,194.3366667,3.086666667,0.386666667
2019,Q4,16.55,-8.12,0.77,2.61,-28.24,5.44,2132.981,1.41,2.61,1.66,0.06,2.07,-0.9,-4.58,0.61,64.2,442.1966667,-448.23,-6.03,267.8533333,-60.71333333,207.14,2.81,0.216666667
2020,Q1,111.36,15.86,-6.64,-1.31,-56.02,-23.71,2196.411,-8.07,-1.31,2.32,-5.08,2.78,-0.2,-17.31,1.46,50.97,459.4566667,-451.9366667,7.516666667,248.9166667,-89.22,159.6966667,3.536666667,0.176666667
2020,Q2,288.42,3.57,-13.99,-8.46,-44.85,-18.43,2197.121,-8.12,-8.46,-4.08,-20.58,5.22,-0.64,-53.3,-5.18,31.54,400.9666667,-525.3133333,-124.35,413.3733333,-57.35666667,356.0166667,3.633333333,0.736666667
2020,Q3,242.72,6.01,-9.44,-1.99,-22.33,-8.91,2032.424,-6.74,-1.99,-4.04,-12.42,6.72,-0.61,-27.44,-4.57,45.72,359.1433333,-452.43,-93.28666667,413.6766667,-85.00333333,328.6766667,3.62,0.653333333
2020,Q4,150.15,4,-8.1,-0.04,-8.83,-3.5,2085.243,-6.23,-0.04,-4.78,-10.17,6.02,-0.82,-25.26,-4.83,47.2,368.9166667,-458.9266667,-90.00333333,397.53,-76.59666667,320.9333333,2.72,0.563333333
2021,Q1,-56.73,-18.89,0.52,4.02,93.95,34.9,2388.362,7.12,4.02,-4.63,-6.43,6.12,-1.31,28.13,-4.34,63.7,496.1566667,-574.8133333,-78.66,412.9566667,-60.82666667,352.13,2.233333333,0.566666667
2021,Q2,-334.64,-8.55,11.38,12.13,109.64,45.5,2409.999,7.09,12.13,2.56,16.95,5.97,-0.75,136.71,3.69,71.5,549.6566667,-648.3533333,-98.69333333,397.9466667,-55.51,342.4366667,1.88,0.446666667
2021,Q3,-411.84,-9.02,6.51,5.52,110.56,42.21,2210.63,5.29,5.52,2.41,7.93,4.52,0.78,72.69,3.8,75.13,507.59,-502.9033333,4.686666667,337.5933333,-79.43666667,258.1566667,1.916666667,0.71
2021,Q4,-384.47,-4.9,6.73,5.11,92.98,27.05,2062.06,4.83,5.11,2.88,8.94,3.72,0.86,81.81,3.6,80.83,456.29,-431.77,24.52,315.76,-62.69666667,253.0633333,1.94,0.613333333
2022,Q1,-309.83,-10.38,5.51,4.45,104.19,49.09,1985.798,3.84,4.45,2.92,7.53,3.12,1.59,63.85,3.2,97.56,489.6066667,-414.77,74.83333333,281.47,-45.09666667,236.3733333,1.91,0.61
2022,Q2,-217.58,-11.51,3.07,3.63,53.97,23.81,1742.176,3.42,3.63,1.49,2.65,2.59,1.77,64.58,0.87,109.19,432.2566667,-367.81,64.45333333,270.6,-33.13,237.47,2.356666667,0.423333333
2022,Q3,-18.68,-2.6,2.5,3.43,13.76,10.65,1545.646,3.94,3.43,2.07,0.85,1.67,1.3,31.81,1.62,92.26,415.8266667,-334.23,81.59666667,211.77,-49.44,162.3366667,2.393333333,0.276666667
2022,Q4,129.21,2.46,0.85,2.32,-6.3,13.75,1444.743,3.89,2.32,1.59,-2.55,2.29,0.63,7.01,1.49,81.22,347.4366667,-334.45,12.99,198.6866667,-44.52666667,154.16,2.053333333,0.283333333
2023,Q1,144.34,10.45,1.87,2.79,-40.9,-15.19,1725.076,4.12,2.79,2.25,-0.75,3.08,-0.06,-20.19,2.64,73.96,487.7733333,-476.4533333,11.32,196.79,-65.02,131.77,1.863333333,0.266666667
2023,Q2,127.16,17.06,2.92,3.55,,,1877.983,4.51,3.55,2.53,1.03,3.03,-0.12,-32.54,3.19,71.22,536.43,-511.1666667,25.26,200.78,-97.86333333,102.9166667,2.183333333,0.41
2023,Q3,76.92,-3.14,2.03,3.25,,,1726.86,3.91,3.25,2.39,-0.2,4.23,-1.83,-11.62,3.34,79.08,454.6533333,-435.57,19.08333333,266.85,-48.09,218.76,1.9,0.163333333
2023,Q4,-4.28,1.76,2.67,3.33,,,1644.056,4.04,3.33,2.94,1.04,4.38,-1.57,-4.91,3.91,75.31,428.3833333,-338.5866667,89.79666667,209.56,-102.3,107.26,1.38,0.186666667
2024,Q1,8.93,-3.86,1.41,3.21,,,1688.014,3.37,3.21,1.02,-0.98,4.4,-0.9,2.03,1.73,73.68,483.4533333,-388.88,94.57666667,227.43,-57.48333333,169.95,1.463333333,0.39
2024,Q2,52.9,-4.82,0.78,3.12,,,1778.903,1.35,3.12,1.25,0.06,4.48,-1.18,11.27,2.3,77.26,513.9633333,-428.4866667,85.48,246.9366667,-53.76,193.18,1.39,0.263333333
2024,Q3,-17.83,10.43,0.52,2.95,,,1784.134,0.55,2.95,0.3,0.5,4.52,-0.01,-7.08,0.87,71.86,542.33,-414.18,128.1533333,216.2733333,-36.84,179.4333333,1.553333333,0.366666667
2024,Q4,-0.34,-2.13,0.95,3.07,,,1765.45,1.23,3.07,-0.37,0.62,4.77,0,-10.03,0.09,66.11,569.69,-362.635,207.055,176.68,-77.66,99.02,1.303333333,0.32
